                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                 1.1567,                0.79043,                 1.1246,                0.80804,                0.76341,                0.81607,                0.57998,                0.98025,                0.64139,                 1.0603,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.1562,                0.79428,                 1.1293,                0.82355,                0.75774,                0.81552,                0.57368,                0.98338,                0.63807,                  1.056,               0.008812,               0.008812,               0.008812
                    122,                 1.1366,                0.77777,                  1.117,                0.80512,                0.74554,                0.81103,                0.57203,                0.98058,                0.63481,                 1.0521,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.1396,                0.78446,                 1.1216,                0.84671,                0.73896,                0.81186,                0.57651,                0.97558,                0.64163,                  1.053,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.1422,                0.78245,                 1.1238,                0.85663,                0.72842,                 0.8169,                0.57858,                0.96931,                0.63449,                  1.048,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.1644,                0.79565,                 1.1252,                0.83834,                 0.7233,                0.80867,                0.57248,                0.98329,                0.64793,                 1.0542,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.1475,                0.77952,                   1.12,                0.81977,                0.75837,                0.82055,                0.57898,                0.96478,                0.63496,                 1.0449,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.1451,                0.77914,                  1.122,                0.82701,                0.76026,                0.81828,                0.57455,                0.97034,                0.63731,                 1.0485,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.1548,                0.78325,                 1.1234,                0.85461,                0.74651,                0.81909,                0.58232,                 0.9606,                0.62929,                 1.0403,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.1344,                0.76687,                 1.1092,                0.84228,                0.73674,                0.81598,                0.58503,                0.95434,                0.62381,                 1.0396,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.1433,                0.77812,                 1.1205,                0.86624,                0.72547,                0.81457,                0.58416,                0.95877,                0.63101,                  1.045,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.1251,                0.76907,                 1.1119,                0.84511,                0.73788,                0.81317,                0.58246,                0.95518,                0.62457,                 1.0433,               0.008713,               0.008713,               0.008713
                    132,                 1.1271,                0.76579,                 1.1164,                0.81444,                0.76977,                0.81875,                0.58122,                0.96004,                0.62447,                 1.0439,              0.0087031,              0.0087031,              0.0087031
                    133,                 1.1292,                0.77246,                 1.1172,                0.81041,                0.75864,                0.81551,                0.58376,                0.95481,                0.62118,                 1.0451,              0.0086932,              0.0086932,              0.0086932
